x,y
7,15.179858332128415
6,-17.49856757611434
7,17.287559081732784
7,7.026205920237563
8,89.33944313216332
5,-30.47106657752132
8,90.12615138872447
7,15.682866487649937
7,6.977127140918203
5,-31.018446068144165
5,-29.383028821303004
9,143.63569761253177
5,-28.579853011532695
7,29.8063909392759
6,-18.990272759121094
7,10.312062401674012
6,-18.644054008838864
4,-49.34661602629465
5,-30.84148894095127
5,-31.046469238709406
8,99.93708816823519
7,11.810940432872238
8,65.27345630418293
5,-32.789829123154135
5,-27.722897313873645
8,75.8966080365856
5,-30.825945052501666
8,95.274663203857
5,-30.59563513069581
4,-44.6912171054757
4,-39.687691434657154
5,-28.512218368254953
8,69.80842626793377
5,-35.22613395034488
9,111.53779034452772
8,96.03976304578589
5,-31.368859093784703
5,-33.61896884487013
5,-30.806293922918695
4,-42.13585047820231
6,-17.04466358470996
5,-28.358739437355748
5,-28.67169339811392
5,-28.36540981602718
5,-28.969705434625897
9,121.1295241458885
7,14.844824303586522
8,82.84084186673478
4,-41.78710962063209
5,-29.293075656301877
6,-14.612470975268026
6,-21.858256514412602
5,-30.457474160069655
9,136.68951894594093
5,-35.96290195184153
6,-21.945686660996465
8,69.78479850304625
7,14.419250092337382
10,163.03119820522647
5,-29.411831185444527
6,-18.887911516191796
5,-31.139818254232175
8,71.3946368152948
7,7.868816623212727
7,20.124379768166815
8,93.89046809015923
7,12.211443146582074
7,17.8971696617033
4,-46.62171141702751
7,20.13789814693155
7,16.812149120644754
4,-37.56378388554119
7,13.070688330168435
5,-27.287609137040267
3,-54.14642486406991
4,-43.316880614676094
4,-39.89592634714297
5,-29.318776389879453
4,-53.76119785674609
5,-33.071112743804285
6,-20.066582359763313
6,-16.769753495204007
8,78.64813045189808
5,-29.975515024329454
7,13.812648843276746
8,79.73497708247291
6,-13.146947676095362
6,-13.792038898519975
3,-55.562758324314686
4,-37.40191662675967
4,-42.21363461183378
5,-28.91878470386511
5,-26.719807593202294
6,-23.765155097305204
6,-13.802219147329303
6,-12.204053888681736
7,15.40983087462421
4,-45.46474723798048
5,-34.71919966611135
4,-39.4199110426927
6,-22.129542758291173
6,-14.671161615682909
5,-40.7969982388631
7,14.012734218390229
7,19.543150347229574
8,74.43020692077027
4,-40.95992288640234
5,-30.384368785528263
5,-36.00855965720474
6,-22.3192839320821
6,-22.381880034353774
7,15.167477853601836
7,44.064953434272745
6,-20.209147643353912
6,-16.928077564702402
6,-15.350421506780117
5,-28.045851019028635
5,-29.68933754086517
7,20.305184292009432
6,-15.95035484393831
6,-13.690863665618409
4,-38.77830271629598
6,-19.316473392273682
6,-19.179735666983774
6,-19.59067863624397
6,-25.23848082276807
6,-18.089147694910753
5,-31.554399390573053
6,-16.448705893850903
5,-31.369229613425464
7,20.4178201583782
6,-8.010996396033448
5,-34.31780849936873
8,75.46724663623239
5,-38.786132136945696
7,11.701073434110155
5,-29.645519391664536
7,25.636880372523386
8,72.87623263429423
6,-7.373037225509886
4,-38.72569126044208
7,26.654961933703778
5,-32.966775881030344
7,15.704528683655203
5,-52.97500692139784
6,-15.59064410587591
5,-30.8056752484496
7,20.453291088028188
7,15.040452972879248
5,-32.05716774573905
5,-30.44573512944219
8,103.92207074918677
6,-13.981585162940936
6,-16.708603815289713
6,-21.76350369178676
6,-25.52984900725003
5,-35.281464284067454
8,78.51940613372253
7,25.463725837791593
7,32.38848147320747
6,-18.25811552112701
9,142.21199795305606
7,18.807662664150683
4,-40.06044312533271
6,-22.3886448544049
5,-30.402291694049673
5,-44.69785982969225
8,95.06692885292588
7,13.57992054627656
8,76.84571507352335
5,-31.778188070622182
6,-17.066670899847526
7,21.282597310276483
6,-19.696544137654193
6,-20.858020868103115
6,-15.457120452992834
6,-14.088932737314952
5,-41.456795625740845
9,177.73349765072936
5,-30.0873848615972
6,-15.52960853652927
7,19.982978811540118
5,-31.966628800001896
7,12.334158254755721
5,-34.25053057351151
10,185.0790282346972
7,13.50243254082732
5,-31.76466284613396
5,-32.55773960106395
8,85.18552503889688
8,91.19361331062387
7,13.549123223339537
7,10.492446322313874
7,5.065981603506441
5,-30.544863594022733
6,-18.73461767028286
7,34.15659846431026
8,71.869477935305
6,-17.058977551121632
8,97.2626414248588
4,-39.35779771107372
6,-17.811086094215824
6,-20.300212221541404
6,-17.43739314756008
5,-31.28757107390678
7,10.331800550540686
5,-38.56780508383138
4,-38.134024671632446
7,23.950144834944695
6,-19.249731061313813
5,-32.73452121019341
6,-17.11869911677356
7,19.95870408126847
5,-30.54387341240834
6,-19.29047523912884
5,-31.793097116426928
7,12.655721132724358
4,-39.37841381643608
7,12.032844731703053
7,12.995784212660537
7,25.607904067219813
6,-13.327668267479405
6,-13.382998715036525
4,-47.81518029318682
10,192.59646696713642
5,-31.288246986824046
7,36.48521293869163
6,-23.408503744899996
5,-28.154891034776945
7,12.675989030135888
6,-20.21402214077136
8,86.20641954211524
6,-23.630122356550928
5,-30.02361990674016
6,-10.708804309788334
6,-24.187089576091235
7,9.0089380976263
7,17.150477175117597
8,96.53380220698183
6,-22.477030702912092
8,77.38486189168529
5,-31.118248860516967
5,-35.01668033070374
6,-21.00890951662752
7,18.983350639401728
7,24.83218777790626
6,-24.613472388359675
6,-21.211103868798627
7,12.78068728996033
6,-8.430140786922873
3,-48.280831587296476
8,71.2108078240925
6,-13.613204980660173
6,-18.894373268808078
5,-30.88477844075245
7,23.911214422438707
6,-13.71108533508685
7,18.85858043209584
7,18.50439933011304
5,-32.379118926700926
6,-20.576635106922545
8,85.62387329574969
6,-17.45743728250175
5,-31.65617362327473
5,-34.92278542788512
6,-22.56187300106756
6,-13.746006583649736
5,-40.828241901755305
5,-32.612231237479705
6,-20.26626551270438
8,79.56231911609227
7,14.79014729795724
8,90.15068657426465
6,-23.563979828803397
5,-28.696096333249365
7,18.120280763221675
7,13.818454470307259
4,-38.859384655592066
9,159.51474360845796
7,15.17650846216494
7,19.38618498975559
6,-18.071349549319425
7,16.750459195110345
8,75.17651737845287
6,-20.362491829423377
7,15.386993203800786
6,-15.574195060893388
4,-41.74005483692909
5,-30.35130786208365
6,-18.744703633175124
8,70.00053257178362
5,-34.16320979757435
5,-33.53546053977668
7,22.101356689066005
6,-23.485486146703085
6,-20.832320821747576
5,-28.96713158651432
7,21.867847938983974
6,-12.347581427128755
6,-17.025595670442257
5,-30.169699734566738
8,83.71405656870664
7,25.952550412811313
5,-29.112293991807718
7,25.513412883034984
8,102.59149194700579
7,21.3013554291831
6,-24.373627335014152
4,-44.12129574979003
9,143.95664823489258
6,-13.731639477157467
6,-20.234241100694845
5,-31.01979231047063
7,19.345377676805036
7,8.136042419418322
7,13.867340919135666
7,25.445747933555445
8,78.47240311480377
7,29.0001101402104
7,14.546772820945842
9,132.08179183908496
8,102.25484716510557
7,21.945651290358292
3,-44.13900796989777
7,15.340487434235348
5,-33.28898943014949
8,98.02149820812902
6,-21.767009918690267
6,-14.719902597161347
5,-33.814342696207476
5,-51.23201700455732
5,-27.82774478363815
8,98.21894324561902
7,13.636819385635448
6,-13.892243300923457
5,-34.306400596511914
9,145.4575628947705
7,19.133276311711516
7,14.050019034687168
6,-19.169233616049162
8,63.67718906669723
4,-43.75652156375116
3,-52.03122569797962
9,114.05795419786864
5,-33.808571236197444
6,-19.15882387166887
6,-17.49478418889405
6,-19.368770605027763
7,11.193676276463053
9,157.62281032720787
9,128.64029953315168
7,13.697419070511254
5,-32.74616662731401
